example_id                                       | status | run_time              |
./spec/system/courses_spec.rb[1:1:2:1]           | passed | 1.81 seconds          |
./spec/system/courses_spec.rb[1:1:2:2]           | passed | 1.04 seconds          |
./spec/system/courses_spec.rb[1:2:1:1]           | passed | 1.2 seconds           |
./spec/system/courses_spec.rb[1:2:1:2]           | passed | 1.31 seconds          |
./spec/system/courses_spec.rb[1:2:1:3:1]         | passed | 22.99 seconds         |
./spec/system/courses_spec.rb[1:3:1:1]           | passed | 1.65 seconds          |
./spec/system/courses_spec.rb[1:3:1:2]           | passed | 1.99 seconds          |
./spec/system/courses_spec.rb[1:3:2:1]           | passed | 2.39 seconds          |
./spec/system/courses_spec.rb[1:3:2:2]           | passed | 6.23 seconds          |
./spec/system/courses_spec.rb[1:3:2:3:1]         | passed | 7.79 seconds          |
./spec/system/courses_spec.rb[1:3:3:1]           | passed | 3.09 seconds          |
./spec/system/courses_spec.rb[1:3:3:2]           | passed | 3.09 seconds          |
./spec/system/courses_spec.rb[1:4:1:1]           | passed | 7.26 seconds          |
./spec/system/courses_spec.rb[1:4:1:2]           | passed | 1.42 seconds          |
./spec/system/courses_spec.rb[1:4:2:1]           | passed | 1.41 seconds          |
./spec/system/courses_spec.rb[1:4:2:2]           | passed | 0.92717 seconds       |
./spec/system/courses_spec.rb[1:4:3:1]           | passed | 1.61 seconds          |
./spec/system/reliationship_spec.rb[1:1:1:1]     | passed | 0.42453 seconds       |
./spec/system/reliationship_spec.rb[1:1:1:2]     | passed | 0.27994 seconds       |
./spec/system/reliationship_spec.rb[1:1:1:3]     | passed | 0.27648 seconds       |
./spec/system/reliationship_spec.rb[1:1:1:4]     | passed | 0.25795 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:1]     | passed | 0.31763 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:2]     | passed | 0.40272 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:3]     | passed | 0.25151 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:4]     | passed | 0.24446 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:5:1]   | passed | 0.37044 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:5:2]   | passed | 0.37909 seconds       |
./spec/system/reliationship_spec.rb[1:2:1:5:3]   | passed | 0.35808 seconds       |
./spec/system/sessions_spec.rb[1:1:1:1]          | passed | 0.03901 seconds       |
./spec/system/sessions_spec.rb[1:1:1:2]          | passed | 0.03274 seconds       |
./spec/system/sessions_spec.rb[1:1:1:3]          | passed | 0.03664 seconds       |
./spec/system/sessions_spec.rb[1:1:1:4]          | passed | 0.03643 seconds       |
./spec/system/sessions_spec.rb[1:1:1:5]          | passed | 0.03013 seconds       |
./spec/system/sessions_spec.rb[1:1:1:6]          | passed | 0.03212 seconds       |
./spec/system/sessions_spec.rb[1:1:1:7]          | passed | 0.03342 seconds       |
./spec/system/sessions_spec.rb[1:1:2:1]          | passed | 0.07427 seconds       |
./spec/system/sessions_spec.rb[1:1:2:2]          | passed | 0.12543 seconds       |
./spec/system/static_pages_spec.rb[1:1:1:1]      | passed | 0.03288 seconds       |
./spec/system/static_pages_spec.rb[1:1:1:2]      | passed | 0.02527 seconds       |
./spec/system/static_pages_spec.rb[1:1:1:3]      | passed | 0.05896 seconds       |
./spec/system/static_pages_spec.rb[1:1:2:1]      | passed | 2.92 seconds          |
./spec/system/static_pages_spec.rb[1:2:1]        | passed | 0.02662 seconds       |
./spec/system/static_pages_spec.rb[1:2:2]        | passed | 0.02358 seconds       |
./spec/system/users_spec.rb[1:1:1:1]             | passed | 0.08509 seconds       |
./spec/system/users_spec.rb[1:1:1:2]             | passed | 0.07697 seconds       |
./spec/system/users_spec.rb[1:1:1:3:1]           | passed | 0.13863 seconds       |
./spec/system/users_spec.rb[1:1:1:3:2]           | passed | 0.10936 seconds       |
./spec/system/users_spec.rb[1:1:2:1:1]           | passed | 0.21248 seconds       |
./spec/system/users_spec.rb[1:1:2:2]             | passed | 0.38964 seconds       |
./spec/system/users_spec.rb[1:1:2:3]             | passed | 0.3355 seconds        |
./spec/system/users_spec.rb[1:1:2:4:1]           | passed | 3.34 seconds          |
./spec/system/users_spec.rb[1:1:3:1:1]           | passed | 0.30177 seconds       |
./spec/system/users_spec.rb[1:1:3:1:2]           | passed | 0.26748 seconds       |
